"NCES","ODE"
"Perrydale School District 21","Perrydale SD 21"
"Philomath School District 17J","Philomath SD 17J"
"Phoenix-Talent School District 4","Phoenix-Talent SD 4"
"Pilot Rock School District 2","Pilot Rock SD 2"
"Pine-Eagle School District 61","Pine Eagle SD 61"
"Pinehurst School District 94","Pinehurst SD 94"
"Pleasant Hill School District 1","Pleasant Hill SD 1"
"Plush School District 18","Plush SD 18"
"Port Orford-Langlois School District 2J","Port Orford-Langlois SD 2CJ"
"Portland School District 1J","Portland SD 1J"
"Powers School District 31","Powers SD 31"
"Prairie City School District 4","Prairie City SD 4"
"Prospect School District 59","Prospect SD 59"
"Redmond School District 2J","Redmond SD 2J"
"Reedsport School District 105","Reedsport SD 105"
"Reynolds School District 7","Reynolds SD 7"
"Riddle School District 70","Riddle SD 70"
"Riverdale School District 51J","Riverdale SD 51J"
"Rogue River School District 35","Rogue River SD 35"
"Roseburg School District 4","Douglas County SD 4"
"Salem-Keizer School District 24J","Salem-Keizer SD 24J"
"Oregon Trail School District 46","Oregon Trail SD 46"
"Scappoose School District 1J","Scappoose SD 1J"
"Scio School District 95","Scio SD 95"
"Seaside School District 10","Seaside SD 10"
"Sheridan School District 48J","Sheridan SD 48J"
"Sherman School District 1","Sherman County SD"
"Sherwood School District 88J","Sherwood SD 88J"
"North Lake School District 14","North Lake SD 14"
"Silver Falls School District 4J","Silver Falls SD 4J"
"Sisters School District 6","Sisters SD 6"
"South Lane School District 45J","South Lane SD 45J3"
"South Umpqua School District 19","South Umpqua SD 19"
"Spray School District 1","Spray SD 1"
"Springfield School District 19","Springfield SD 19"
"St. Helens School District 502","St Helens SD 502"
"St. Paul School District 45","St Paul SD 45"
"Stanfield School District 61","Stanfield SD 61"
"Sutherlin School District 130","Sutherlin SD 130"
"Sweet Home School District 55","Sweet Home SD 55"
"Tigard-Tualatin School District 23J","Tigard-Tualatin SD 23J"
"Tillamook School District 9","Tillamook SD 9"
"Troy School District 54","Troy SD 54"
"Ukiah School District 80","Ukiah SD 80R"
"Umatilla School District 6","Umatilla SD 6R"
"Union School District 5","Union SD 5"
"Vernonia School District 47J","Vernonia SD 47J"
"Wallowa School District 12","Wallowa SD 12"
"Warrenton-Hammond School District 30","Warrenton-Hammond SD 30"
"West Linn School District 3J","West Linn-Wilsonville SD 3J"
"Willamina School District 30J","Willamina SD 30J"
"Winston-Dillard School District 116","Winston-Dillard SD 116"
"Woodburn School District 103","Woodburn SD 103"
"Yoncalla School District 32","Yoncalla SD 32"
